time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              5              100.00         10             
1000         5.6     3260           940            0              17108          1066856        1              5              100.00         10             
2000         5.7     3392           958            0              17108          1066856        1              5              100.00         10             
3000         5.6     3392           958            0              17108          1066856        1              5              100.00         10             
4000         5.8     3392           958            0              17108          1066856        1              5              100.00         10             
5000         5.8     3392           958            0              17108          1066856        1              5              100.00         10             
6000         6.3     3392           958            0              17108          1066856        1              5              100.00         10             
7000         6.5     3392           958            0              17108          1066856        1              5              100.00         10             
8000         6.6     3392           958            0              17108          1066856        1              5              100.00         10             
9000         6.6     3392           958            0              17108          1066856        1              5              100.00         10             
10000        6.8     3392           958            0              17108          1066856        1              5              100.00         10             
