Time[ms]    Caller                   Code  Description         
4           topic_4->node_0          1     msg 0 late. 2409us > 2000us
4           topic_4->node_1          1     msg 0 late. 2646us > 2000us
4           topic_4->node_3          1     msg 0 late. 3167us > 2000us
4           topic_4->node_3          1     msg 1 late. 2138us > 2000us
5           topic_4->node_2          1     msg 0 late. 3578us > 2000us
5           topic_4->node_2          1     msg 1 late. 2546us > 2000us
66          topic_4->node_1          1     msg 7 late. 3416us > 2000us
4965        topic_4->node_1          1     msg 497 late. 2646us > 2000us
5165        topic_4->node_0          1     msg 517 late. 2498us > 2000us
5715        topic_4->node_1          1     msg 572 late. 2067us > 2000us
5805        topic_4->node_2          1     msg 581 late. 2556us > 2000us
