time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              2              10.00          10             
1001         0.39    680            366            0              16828          329112         1              2              10.00          10             
2000         0.29    1076           384            0              20924          476576         1              2              10.00          10             
3000         0.21    1344           389            0              22972          476576         1              2              10.00          10             
4000         0.86    1344           401            0              22972          476576         1              2              10.00          10             
5000         1.2     1344           402            0              22972          476576         1              2              10.00          10             
6000         1.5     1344           402            0              22972          476576         1              2              10.00          10             
7000         1.6     1344           402            0              22972          476576         1              2              10.00          10             
8000         1.7     1344           402            0              22972          476576         1              2              10.00          10             
9000         1.8     1344           402            0              22972          476576         1              2              10.00          10             
10000        1.9     1344           402            0              22972          476576         1              2              10.00          10             
11000        2       1344           402            0              22972          476576         1              2              10.00          10             
12000        2       1344           402            0              22972          476576         1              2              10.00          10             
13000        2       1344           402            0              22972          476576         1              2              10.00          10             
14000        1.9     1344           402            0              22972          476576         1              2              10.00          10             
15000        1.8     1344           402            0              22972          476576         1              2              10.00          10             
16000        1.7     1344           402            0              22972          476576         1              2              10.00          10             
