time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              3              10.00          10             
1000         0.55    1088           485            0              16856          402976         1              3              10.00          10             
2000         0.35    1616           519            0              18904          624172         1              3              10.00          10             
3000         0.24    1616           519            0              18904          624172         1              3              10.00          10             
4000         0.18    1616           519            0              18904          624172         1              3              10.00          10             
5000         0.15    1616           519            0              18904          624172         1              3              10.00          10             
6000         0.13    1616           519            0              18904          624172         1              3              10.00          10             
7000         0.11    1616           519            0              18904          624172         1              3              10.00          10             
8000         0.097   1616           519            0              18904          624172         1              3              10.00          10             
9000         0.088   1616           519            0              18904          624172         1              3              10.00          10             
10000        0.08    1616           519            0              18904          624172         1              3              10.00          10             
11000        0.074   1616           519            0              18904          624172         1              3              10.00          10             
12000        0.068   1616           519            0              18904          624172         1              3              10.00          10             
13000        0.064   1616           519            0              18904          624172         1              3              10.00          10             
14000        0.06    1616           519            0              18904          624172         1              3              10.00          10             
15000        0.057   1616           519            0              18904          624172         1              3              10.00          10             
16000        0.054   1616           519            0              18904          624172         1              3              10.00          10             
