time[ms]     cpu[%]  arena[KB]      in_use[KB]     mmap[KB]       rss[KB]        vsz[KB]        pubs           subs           frequency      msg_size       
0            0       0              0              0              0              0              1              1              100.00         10             
1000         0.42    676            358            0              16976          329108         1              1              100.00         10             
2000         2.2     1136           447            0              16976          476572         1              1              100.00         10             
3000         2.8     1188           494            0              16976          476572         1              1              100.00         10             
4000         3.1     1236           541            0              16976          476572         1              1              100.00         10             
5000         3.4     1280           588            0              17236          476572         1              1              100.00         10             
6000         3.5     1328           635            0              17236          476572         1              1              100.00         10             
7000         3.6     1376           682            0              17236          476572         1              1              100.00         10             
8000         3.7     1420           729            0              17236          476572         1              1              100.00         10             
9000         3.8     1468           776            0              17236          476572         1              1              100.00         10             
10000        3.8     1516           823            0              17236          476572         1              1              100.00         10             
11000        3.9     1560           870            0              17500          476572         1              1              100.00         10             
