Time[ms]    Caller                   Code  Description         
2           service_5->node_5        3     msgs 4294967295 to 8589934590 lost.
2           service_5->node_5        3     msgs 4294967295 to 8589934590 lost.
3           service_5->node_5        3     msgs 4294967295 to 8589934590 lost.
3           service_5->node_2        1     msg 0 late. 2283us > 2000us
3           service_5->node_5        3     msgs 4294967295 to 8589934590 lost.
6           service_5->node_5        3     msgs 0 to 4294967295 lost.
8           service_5->node_5        3     msgs 0 to 4294967295 lost.
9           service_5->node_5        3     msgs 0 to 4294967295 lost.
10          service_5->node_5        3     msgs 0 to 4294967295 lost.
16          service_5->node_5        3     msgs 1 to 4294967296 lost.
18          service_5->node_5        3     msgs 1 to 4294967296 lost.
19          service_5->node_5        3     msgs 1 to 4294967296 lost.
20          service_5->node_5        3     msgs 1 to 4294967296 lost.
27          service_5->node_5        3     msgs 2 to 4294967297 lost.
28          service_5->node_5        3     msgs 2 to 4294967297 lost.
29          service_5->node_5        3     msgs 2 to 4294967297 lost.
30          service_5->node_5        3     msgs 2 to 4294967297 lost.
36          service_5->node_5        3     msgs 3 to 4294967298 lost.
38          service_5->node_5        3     msgs 3 to 4294967298 lost.
39          service_5->node_5        3     msgs 3 to 4294967298 lost.
40          service_5->node_5        3     msgs 3 to 4294967298 lost.
46          service_5->node_5        3     msgs 4 to 4294967299 lost.
48          service_5->node_5        3     msgs 4 to 4294967299 lost.
49          service_5->node_5        3     msgs 4 to 4294967299 lost.
50          service_5->node_5        3     msgs 4 to 4294967299 lost.
56          service_5->node_5        3     msgs 5 to 4294967300 lost.
58          service_5->node_5        3     msgs 5 to 4294967300 lost.
59          service_5->node_5        3     msgs 5 to 4294967300 lost.
60          service_5->node_5        3     msgs 5 to 4294967300 lost.
66          service_5->node_5        3     msgs 6 to 4294967301 lost.
68          service_5->node_5        3     msgs 6 to 4294967301 lost.
69          service_5->node_5        3     msgs 6 to 4294967301 lost.
70          service_5->node_5        3     msgs 6 to 4294967301 lost.
76          service_5->node_5        3     msgs 7 to 4294967302 lost.
78          service_5->node_5        3     msgs 7 to 4294967302 lost.
79          service_5->node_5        3     msgs 7 to 4294967302 lost.
